english,icelandic,alternatives,category,notes,definition_en,definition_is
Amontons’s law,lögmál Amontons,,other,,"(also, Gay-Lussac’s law) pressure of a given number of moles of gas is directly proportional to its kelvin temperature when the volume is held constant",(einnig lögmál Gay-Lussac) þrýstingur ákveðins fjölda móla af gasi er í beinu hlutfalli við kelvinhitastig þess þegar rúmmálinu er haldið föstu
Arrhenius equation,Arrheniusar-jafna,,other,,"mathematical relationship between a reaction’s rate constant, activation energy, and temperature","stærðfræðilegt samband milli hraðafasta, virkjunarorku og hitastigs hvarfs"
Avogadro’s law,lögmál Avogadros,,other,,volume of a gas at constant temperature and pressure is proportional to the number of gas molecules,rúmmál gass við fast hitastig og þrýsting er í hlutfalli við fjölda gassameinda
Boyle’s law,lögmál Boyles,,other,,volume of a given number of moles of gas held at constant temperature is inversely proportional to the pressure under which it is measured,rúmmál ákveðins fjölda móla af gasi sem haldið er við fast hitastig er í öfugu hlutfalli við þrýstinginn sem það er mælt við
Celsius (°C),Selsíus (°C),,other,,unit of temperature; water freezes at 0 °C and boils at 100 °C on this scale,eining fyrir hitastig; vatn frýs við 0 °C og sýður við 100 °C á þessum skala
Charles’s law,lögmál Charles,,other,,volume of a given number of moles of gas is directly proportional to its kelvin temperature when the pressure is held constant,rúmmál ákveðins fjölda móla af gasi er í beinu hlutfalli við kelvinhitastig þess þegar þrýstingnum er haldið föstum
Dalton’s atomic theory,Atómkenning Daltons,,other,,set of postulates that established the fundamental properties of atoms,safn fullyrðinga sem settu fram grundvallareiginleika atóma
Dalton’s law of partial pressures,Daltons-lögmálið um hlutþrýsting,,other,,total pressure of a mixture of ideal gases is equal to the sum of the partial pressures of the component gases,heildarþrýstingur efnablöndu af kjörgasi er jafn summu hlutþrýstings íhlutagasanna
Graham’s law of effusion,útstreymislögmál Grahams,,other,,rates of diffusion and effusion of gases are inversely proportional to the square roots of their molecular masses,sveim- og útstreymishraði gasa er í öfugu hlutfalli við kvaðratrætur sameindamassa þeirra
Hess’s law,lögmál Hess,,other,,"if a process can be represented as the sum of several steps, the enthalpy change of the process equals the sum of the enthalpy changes of the steps",ef hægt er að tákna ferli sem summu nokkurra skrefa er vermibreyting ferlisins jöfn summu vermibreytinga skrefanna
Le Châtelier’s principle,Lögmál Le Châteliers,,other,,an equilibrium subjected to stress will shift in a way to counter the stress and re-establish equilibrium,jafnvægi sem verður fyrir álagi mun hliðrast á þann hátt að það vinnur gegn álaginu og kemur aftur á jafnvægi
SI units (International System of Units),SI-einingar (Alþjóðlega einingakerfið),,other,,standards fixed by international agreement in the International System of Units (Le Système International d’Unités),staðlar sem ákvarðaðir eru með alþjóðasamningi í Alþjóðlega einingakerfinu (Le Système International d’Unités)
Tala Avogadros (NA),Tala Avogadros (NA),,other,,,"tilraunakennt ákvarðað gildi fjölda einda sem mynda 1 mól af efni, jafnt og 6,022 × 1023 mól−1"
acid-base reaction,sýru-basa hvarf,,other,,reaction involving the transfer of a hydrogen ion between reactant species,hvarf sem felur í sér flutning vetnisjónar milli hvarfefna
activated complex,virkjaður flóki,,other,,"(also, transition state) unstable combination of reactant species formed during a chemical reaction","(einnig, virkniástand) óstöðug samsetning hvarfefnategunda sem myndast við efnahvarf"
alpha particle (α particle),alfaeind (α-eind),,other,,positively charged particle consisting of two protons and two neutrons,jákvætt hlaðin eind sem samanstendur af tveimur róteindum og tveimur nifteindum
analyte,greiningarefni,,other,,chemical species of interest,efni sem á að greina
aqueous solution,vatnslausn,,other,,solution for which water is the solvent,lausn þar sem vatn er leysirinn
atmosphere (atm),staðalloftþrýstingur (atm),,other,,"unit of pressure; 1 atm = 101,325 Pa",þrýstingseining; 1 atm = 101.325 Pa
atomic mass unit (amu),atómmassaeining (amu),,other,,"(also, unified atomic mass unit, u, or Dalton, Da) unit of mass equal to 112 of the mass of a 12C atom","(einnig, sameinuð atómmassaeining, u, eða Dalton, Da) massaeining sem jafngildir 1/12 af massa 12C atóms"
atomic number (Z),sætistala (Z),,other,,number of protons in the nucleus of an atom,fjöldi róteinda í kjarna atóms
balanced equation,Stillt jafna,,other,,chemical equation with equal numbers of atoms for each element in the reactant and product,Efnajafna með jöfnum fjölda atóma fyrir hvert frumefni í hvarfefninu og myndefninu
barometer,loftvog,,other,,device used to measure atmospheric pressure,tæki sem notað er til að mæla loftþrýsting
binary acid,tvíliða sýra,,other,,"compound that contains hydrogen and one other element, bonded in a way that imparts acidic properties to the compound (ability to release H+ ions when dissolved in water)","efnasamband sem inniheldur vetni og eitt annað frumefni, tengt á þann hátt að það gefur efnasambandinu súra eiginleika (getu til að losa H+ jónir þegar það er leyst upp í vatni)"
binary compound,tvíliða efnasamband,,other,,compound containing two different elements.,efnasamband sem inniheldur tvö mismunandi frumefni.
bomb calorimeter,sprengikaloríumælir,,other,,device designed to measure the energy change for processes occurring under conditions of constant volume; commonly used for reactions involving solid and gaseous reactants or products,tæki sem er hannað til að mæla orkubreytingu fyrir ferli sem eiga sér stað við fast rúmmál; almennt notað fyrir efnahvörf sem fela í sér föst efni og loftkennd hvarfefni eða myndefni
buret,búretta,,other,,"device used for the precise delivery of variable liquid volumes, such as in a titration analysis","tæki sem notað er til að skammta nákvæmlega breytilegt rúmmál vökva, til dæmis við títrunargreiningu"
