english,idordabanki_icelandic,collection_code,collection_name,idordabanki_id,confidence,openstax_definition,caution,editor_decision,editor_notes
canopy,blæja,BILORD,Bílorð,487524,SENSE_CHECK,branches and foliage of trees that form a layer of overhead coverage in a forest,Matched in 'Bílorð' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
alteration,brigði,BYGGUMHVERFISTAEKNI,Byggingarverkfræði - Umhverfistækni,926367,SENSE_CHECK,change of the set point in a homeostatic system,Matched in 'Byggingarverkfræði - Umhverfistækni' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
siphon,sygill,BYGGUMHVERFISTAEKNI,Byggingarverkfræði - Umhverfistækni,926128,SENSE_CHECK,tubular structure that serves as an inlet for water into the mantle cavity,Matched in 'Byggingarverkfræði - Umhverfistækni' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
solute,leyst,BYGGUMHVERFISTAEKNI,Byggingarverkfræði - Umhverfistækni,926231,SENSE_CHECK,substance dissolved in a liquid to form a solution,Matched in 'Byggingarverkfræði - Umhverfistækni' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
sand,sandur,BYGGVERK,Byggingarverkfræði (jarðtækni),319913,SENSE_CHECK,soil particles between 0.1–2 mm in diameter,Matched in 'Byggingarverkfræði (jarðtækni)' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
candela,kandela,EDLISFR,Eðlisfræði,322178,SENSE_CHECK,(cd) unit of measurement of luminous intensity (brightness),Matched in 'Eðlisfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
conclusion,niðurstaða,EDLISFR,Eðlisfræði,324947,SENSE_CHECK,section of a scientific paper that summarizes the importance of the experimental findings,Matched in 'Eðlisfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
falsifiable,hrekjanlegur,EDLISFR,Eðlisfræði,324694,SENSE_CHECK,able to be disproven by experimental results,Matched in 'Eðlisfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
horizon,lagamót,EDLISFR,Eðlisfræði,322306,SENSE_CHECK,"soil layer with distinct physical and chemical properties, which differs from other layers depending on how and when it was formed",Matched in 'Eðlisfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
inductive reasoning,aðleiðsla,ENDUR,Endurskoðun,327884,SENSE_CHECK,form of logical thinking that uses related observations to arrive at a general conclusion,Matched in 'Endurskoðun' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
tragedy of the commons,sameignarvandi,HAG,Hagfræði,338222,SENSE_CHECK,economic principle that resources held in common will inevitably be overexploited,Matched in 'Hagfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
discussion,umræða,HUGBUNADUR,Hugbúnaðarþýðingar,341553,SENSE_CHECK,"section of a scientific paper in which the author interprets experimental results, describes how variables may be related, and attempts to explain the phenomenon in question",Matched in 'Hugbúnaðarþýðingar' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
audition,leikprufa,LEIKLIST,Leiklist,934563,SENSE_CHECK,sense of hearing,Matched in 'Leiklist' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
layering,lagmyndun,LISA,LíSA (Landupplýsingar á Íslandi fyrir alla),709354,SENSE_CHECK,method of propagating plants by bending a stem under the soil,Matched in 'LíSA (Landupplýsingar á Íslandi fyrir alla)' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
sink,botnsetja,LISA,LíSA (Landupplýsingar á Íslandi fyrir alla),723161,SENSE_CHECK,"growing parts of a plant, such as roots and young leaves, which require photosynthate",Matched in 'LíSA (Landupplýsingar á Íslandi fyrir alla)' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
analogy,áhrifsbreyting,MALFR,Málfræði,505784,SENSE_CHECK,"(also, homoplasy) characteristic that is similar between organisms by convergent evolution, not due to the same evolutionary path",Matched in 'Málfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
fragmentation,brot,MALFR,Málfræði,505955,SENSE_CHECK,cutting or fragmenting of the original animal into parts and the growth of a separate animal from each part,Matched in 'Málfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
polygyny,fjölkvæni,MANNFR,Mannfræði,986386,SENSE_CHECK,mating system where one male mates with many females,Matched in 'Mannfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
bioluminescence,lífefnaljóm,RAFT,Raftækniorðasafn,798202,SENSE_CHECK,"generation and emission of light by an organism, as in dinoflagellates",Matched in 'Raftækniorðasafn' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
evaporation,águfun,RAFT,Raftækniorðasafn,797424,SENSE_CHECK,"change from liquid to gaseous state at a body of water's surface, plant leaves, or an organism's skin",Matched in 'Raftækniorðasafn' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
fovea,sjónugróf,RAFT,Raftækniorðasafn,798042,SENSE_CHECK,region in the center of the retina with a high density of photoreceptors and which is responsible for acute vision,Matched in 'Raftækniorðasafn' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
radioisotope,geislasamsæta,RAFT,Raftækniorðasafn,784863,SENSE_CHECK,isotope that emits radiation comprised of subatomic particles to form more stable elements,Matched in 'Raftækniorðasafn' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
abstract,afhvarf,SAELA,Uppeldis- og sálarfræði,471155,SENSE_CHECK,opening section of a scientific paper that summarizes the research and conclusions,Matched in 'Uppeldis- og sálarfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
asymmetrical,ósamloka,SAELA,Uppeldis- og sálarfræði,472729,SENSE_CHECK,describes animals with no axis of symmetry in their body pattern,Matched in 'Uppeldis- og sálarfræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
atomic weight,atómmassi,SJOMENN,Sjómennsku- og vélfræðiorð,443427,SENSE_CHECK,calculated mean of the atomic weights of an element’s isotopes,Matched in 'Sjómennsku- og vélfræðiorð' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
heterogeneity,misleitni,STJARNA,Stjörnufræði,457083,SENSE_CHECK,number of ecological niches,Matched in 'Stjörnufræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
opposition,andstaða,STJORNSYSLA,Stjórnsýsluorð,455950,SENSE_CHECK,"movement of the thumb toward the fingers of the same hand, making it possible to grasp and hold objects",Matched in 'Stjórnsýsluorð' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
autism spectrum disorder (ASD),einhverfuróf,TALMEIN,Talmeinafræði,775766,SENSE_CHECK,neurodevelopmental disorder characterized by impaired social interaction and communication abilities,Matched in 'Talmeinafræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
FACT,staðreynd,TOLVA,Tölvuorðasafnið (5. útgáfa 2013),891496,SENSE_CHECK,complex that “facilitates chromatin transcription” by disassembling nucleosomes ahead of a transcribing RNA polymerase II and reassembling them after the polymerase passes by,Matched in 'Tölvuorðasafnið (5. útgáfa 2013)' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
resilience (ecological),áfallaþol,TOLVUORDSKY,Tölvuorðasafnið (nýjasta útgáfa),995019,SENSE_CHECK,speed at which an ecosystem recovers equilibrium after being disturbed,Matched in 'Tölvuorðasafnið (nýjasta útgáfa)' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
clay,leir,UPPL,Upplýsingafræði,768626,SENSE_CHECK,soil particles that are less than 0.002 mm in diameter,Matched in 'Upplýsingafræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
introduction,inngangur,UPPL,Upplýsingafræði,769344,SENSE_CHECK,"opening section of a scientific paper, which provides background information about what was known in the field prior to the research reported in the paper",Matched in 'Upplýsingafræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
plagiarism,ritstuldur,UPPL,Upplýsingafræði,770923,SENSE_CHECK,"using other people’s work or ideas without proper citation, creating the false impression that those are the author’s original ideas",Matched in 'Upplýsingafræði' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
cycad,krónuviður,VIDUR,Nytjaviðir,483856,SENSE_CHECK,gymnosperm that grows in tropical climates and resembles a palm tree; member of the phylum Cycadophyta,Matched in 'Nytjaviðir' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
permafrost,freðjörð (sífreri),VO,Veðurorð,478362,SENSE_CHECK,perennially frozen portion of the Arctic tundra soil,Matched in 'Veðurorð' - an unrelated subject. Homograph risk: verify this is the BIOLOGICAL sense before adopting.,,
angina,öng,LAEKN,Læknisfræði,930248,DOMAIN_PLAUSIBLE,pain caused by partial blockage of the coronary arteries by the buildup of plaque and lack of oxygen to the heart muscle,,,
attention deficit hyperactivity disorder (ADHD),athyglisbrestur og ofvirkni,LAEKN,Læknisfræði,773440,DOMAIN_PLAUSIBLE,neurodevelopmental disorder characterized by difficulty maintaining attention and controlling impulses,,,
biofilm,lífverufilma,LAEKN,Læknisfræði,730706,DOMAIN_PLAUSIBLE,microbial community that is held together by a gummy-textured matrix,,,
biomarker,lífmerki,LAEKN,Læknisfræði,932734,DOMAIN_PLAUSIBLE,individual protein that is uniquely produced in a diseased state,,,
